dma,has_fuel_count,total_count,has_power_count,has_diesel_count,without_fuel_count,without_power_count,without_diesel_count,has_fuel_percentage,has_power_percentage,has_diesel_percentage,fuel_outage_percentage,power_outage_percentage,diesel_outage_percentage,Update_date
Atlanta,1,1,1,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
Baton Rouge,14,16,15,15,2,1,1,0.875,0.9375,0.9375,0.125,0.0625,0.0625,2021-09-10 19:23:01
Biloxi-Gulfport,232,251,251,237,19,0,14,0.9243027888446215,1.0,0.9442231075697212,0.07569721115537853,0.0,0.055776892430278835,2021-09-10 19:23:01
"Columbia, SC",1,1,1,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
Columbus-Tupelo-West Point-Houston,400,400,400,400,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
Greenwood-Greenville,163,163,163,163,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
Hattiesburg-Laurel,225,235,234,229,10,1,6,0.9574468085106383,0.9957446808510638,0.9744680851063829,0.04255319148936165,0.004255319148936176,0.025531914893617058,2021-09-10 19:23:01
"Jackson, MS",644,694,686,671,50,8,23,0.9279538904899135,0.9884726224783862,0.9668587896253602,0.0720461095100865,0.011527377521613813,0.033141210374639796,2021-09-10 19:23:01
Memphis,318,319,318,318,1,1,1,0.9968652037617555,0.9968652037617555,0.9968652037617555,0.0031347962382445305,0.0031347962382445305,0.0031347962382445305,2021-09-10 19:23:01
Meridian,153,153,153,153,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
Mobile-Pensacola(Fort Walton),4,4,4,4,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
Montgomery-Selma,1,1,1,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
New Orleans,38,53,49,38,15,4,15,0.7169811320754716,0.9245283018867925,0.7169811320754716,0.28301886792452835,0.07547169811320753,0.28301886792452835,2021-09-10 19:23:01
Tampa-St. Petersburg(Sarasota),1,1,1,1,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,2021-09-10 19:23:01
